ID_Denuncia,FechaDenuncia,HoraDenuncia,TipoRobo,ZonaHecho,NombreDenunciante,EdadDenunciante,GeneroDenunciante,DescripcionHecho,MedioPrueba,UnidadInvestigacion,EstadoCaso,SospechosoIdentificado,MontoEstimadoPerdido,ReincidenciaZona
FELCC-00228,2025-05-07,01:20:51,Robo domiciliario,Centro La Paz,Eusebio Tolosa,40,Femenino,Maiores commodi eaque ipsa ratione officiis. Nam saepe accusamus.,Ninguno,División Cibercrimen,Derivado a fiscalía,Sí,20075,Alta
FELCC-00229,2025-05-07,18:53:34,Robo a comercio,Zona Sur,Constanza Serna Bou,53,Masculino,"Dolorum aliquid nam rerum suscipit. Nulla voluptatum fugiat odit dolores aspernatur velit.
Earum voluptates beatae sapiente.",Testigos,División Cibercrimen,En investigación,Sí,41544,Baja
FELCC-00230,2025-05-07,05:59:13,Robo de vehículo,Zona Sur,Ruth Gil Aguado,72,Femenino,Numquam deleniti quia facere atque. Soluta consectetur sed non.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,Sin pistas,No,44584,Baja
FELCC-00231,2025-05-07,23:59:18,Robo de vehículo,Centro La Paz,Nerea Villegas Ferrándiz,19,Femenino,"Veritatis qui accusantium. Illum omnis tempore quis tempora vero deserunt aut.
In corporis aperiam perferendis commodi. Iusto minima aut dolore in odit.",Ninguno,División Cibercrimen,Cerrado,No,948,Media
FELCC-00232,2025-05-07,05:08:19,Robo a comercio,Miraflores,Luisina Bernad Saavedra,34,Femenino,"Iste blanditiis fugit quibusdam. Hic harum blanditiis error expedita quis quod ipsum.
A at laboriosam. Quis veritatis reprehenderit magnam autem vero harum fugit.",Huella digital,División Cibercrimen,Sin pistas,Sí,43266,Baja
FELCC-00233,2025-05-07,01:51:01,Robo de vehículo,Centro La Paz,Emiliana Zamora Gual,28,Masculino,"Doloremque amet reprehenderit aliquam id.
Dicta odit explicabo. Exercitationem consectetur neque magni illum.
Dolor fugiat voluptas.",Reconocimiento visual,División Cibercrimen,Sin pistas,Sí,21999,Alta
FELCC-00234,2025-05-07,00:05:52,Robo a comercio,Sopocachi,Isabel Matas Rodríguez,18,Masculino,Rerum nesciunt dolorem quam eos explicabo. Suscipit ex harum mollitia quisquam eveniet tenetur. Atque non reprehenderit.,Huella digital,División Cibercrimen,Derivado a fiscalía,Sí,19432,Media
FELCC-00235,2025-05-07,17:44:42,Robo en vía pública,Villa El Carmen,Saturnino del Escobar,58,Masculino,Molestias eius magni possimus ducimus numquam earum. Quos rerum pariatur quas tenetur pariatur. Maxime harum deleniti possimus doloribus non tempore.,Cámara de seguridad,Unidad de Robo de Vehículos,Sin pistas,Sí,16839,Baja
FELCC-00236,2025-05-07,09:06:08,Robo de vehículo,Centro La Paz,Vanesa Aramburu Miguel,74,Femenino,Saepe eius deserunt quidem cumque. Adipisci doloribus quidem odio doloribus.,Reconocimiento visual,División Cibercrimen,Derivado a fiscalía,Sí,9289,Media
FELCC-00237,2025-05-07,18:02:12,Robo de vehículo,Sopocachi,Horacio de Sanmartín,63,Masculino,Minus error blanditiis dolor dolorum quo deleniti commodi. Rerum maiores nobis quibusdam perferendis quasi.,Huella digital,Unidad de Robo de Vehículos,Sin pistas,No,29936,Media
FELCC-00238,2025-05-07,15:32:46,Robo de vehículo,Centro La Paz,Jose Manuel Carmona Zurita,18,Masculino,Corporis vero illum natus. Laudantium reprehenderit non praesentium ex provident temporibus necessitatibus.,Huella digital,División Cibercrimen,Con detenido,No,31149,Media
FELCC-00239,2025-05-07,07:22:46,Robo de vehículo,Zona Sur,Violeta Muñoz Lobato,30,Masculino,Odit ipsa consectetur ex ea dolores. Eum minima laudantium vel. Temporibus quo voluptatem laborum asperiores.,Testigos,División Cibercrimen,Con detenido,Sí,48824,Media
FELCC-00240,2025-05-07,13:05:12,Robo de vehículo,Miraflores,Isaura Sevilla-Morcillo,51,Femenino,"Accusamus vel velit. Repudiandae fugiat nam ipsa excepturi dolore explicabo itaque.
Nesciunt iste quo illo nostrum voluptates. Similique libero voluptates iste perspiciatis nulla.",Cámara de seguridad,Unidad de Robo de Vehículos,Derivado a fiscalía,No,41247,Baja
FELCC-00241,2025-05-07,19:07:00,Robo a comercio,Miraflores,Pastor Adelardo Méndez Cano,28,Femenino,Dolore in natus consequuntur aut vel voluptas eligendi. Aut ipsum modi. Sed sed officia reiciendis.,Huella digital,División Cibercrimen,Cerrado,No,40098,Media
FELCC-00242,2025-05-07,23:40:14,Robo a mano armada,Miraflores,Pili Cortés-Ribes,66,Femenino,"Possimus veritatis eius harum blanditiis consequatur.
Eveniet odio quam doloremque cum explicabo in. Quae quisquam perspiciatis expedita nisi aspernatur.",Ninguno,Unidad de Robo de Vehículos,Sin pistas,Sí,14544,Media
FELCC-00243,2025-05-07,23:53:30,Robo a mano armada,Villa El Carmen,Fito Ayllón Porras,26,Masculino,Harum suscipit at repellendus quod. Pariatur saepe occaecati beatae iusto.,Reconocimiento visual,División Cibercrimen,Derivado a fiscalía,No,264,Baja
FELCC-00244,2025-05-07,10:40:00,Robo domiciliario,Miraflores,Alma Escamilla Roldan,74,Femenino,"Consequatur omnis possimus non dolores eligendi fuga.
Facilis quos nobis illum deleniti voluptates. Minus provident ratione voluptate.",Ninguno,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,5873,Baja
FELCC-00245,2025-05-07,21:32:09,Robo a mano armada,Centro La Paz,Hermenegildo Cobos Galván,48,Masculino,In aliquam quo dolores quis repellendus. Distinctio occaecati eum veniam provident. Omnis optio minima saepe maiores quas.,Reconocimiento visual,Unidad de Robo de Vehículos,Cerrado,No,11407,Media
FELCC-00246,2025-05-07,21:36:56,Robo a mano armada,Centro La Paz,Berto Beltrán Durán,28,Femenino,Cumque alias repellat doloremque voluptate. Quia delectus corporis aliquam rerum magnam. Recusandae consequuntur id.,Ninguno,División Cibercrimen,Sin pistas,Sí,21813,Media
FELCC-00247,2025-05-07,19:58:35,Robo a comercio,Villa El Carmen,Alondra Guardia Falcón,37,Masculino,Numquam nisi aut quos dolore ratione dolorem. Tempore dolorum iste dolorem odio mollitia qui. Molestias distinctio neque voluptatem quia.,Reconocimiento visual,Unidad de Robo de Vehículos,Con detenido,Sí,18802,Media
FELCC-00248,2025-05-07,13:11:48,Robo a comercio,Villa El Carmen,José María Hernández Vilaplana,63,Masculino,"Saepe laborum tempore dolorem quos. Iste est laborum.
Itaque incidunt eius. Quis consectetur et eaque in ab architecto nostrum. Repellat magni occaecati.",Reconocimiento visual,Unidad de Robo de Vehículos,Con detenido,No,7158,Media
FELCC-00249,2025-05-07,04:56:35,Robo a comercio,Miraflores,Iván Vendrell Arroyo,60,Masculino,"Sit dicta eos asperiores nobis iste.
Repellat molestias commodi. Eligendi nemo mollitia quae provident hic.",Reconocimiento visual,Unidad de Robo de Vehículos,Sin pistas,Sí,14618,Baja
FELCC-00250,2025-05-07,18:09:34,Robo de vehículo,Villa El Carmen,Baudelio Elías Barco Benavent,55,Femenino,"Maxime sit error mollitia corporis.
Illum quos odio consequuntur repellat iusto.",Testigos,División Cibercrimen,Cerrado,Sí,35413,Alta
FELCC-00251,2025-05-07,22:50:54,Robo en vía pública,Miraflores,Marcelino Feijoo-Múñiz,42,Femenino,"Eum facilis totam itaque repudiandae necessitatibus perferendis. Officia dolorum tempore rerum minus minus.
Cum quas eligendi sint odio amet. Error earum natus odit cumque.",Reconocimiento visual,División Cibercrimen,Con detenido,No,42614,Alta
FELCC-00252,2025-05-07,07:59:38,Robo de vehículo,Miraflores,Emma Echevarría Guijarro,47,Femenino,Exercitationem error accusantium. Cumque aspernatur quam quasi maxime. Architecto quisquam quam quia dolorem quas.,Reconocimiento visual,División Cibercrimen,Sin pistas,No,20331,Alta
FELCC-00253,2025-05-07,01:17:06,Robo domiciliario,Miraflores,Milagros Avilés Pujadas,33,Femenino,"In nulla esse minima ex quod ullam.
At id accusantium in facilis enim.
Praesentium odio aspernatur.",Cámara de seguridad,Unidad de Delitos Contra la Propiedad,En investigación,Sí,32781,Alta
FELCC-00254,2025-05-07,09:56:53,Robo de vehículo,Villa El Carmen,Asunción Aránzazu Nicolás Redondo,70,Masculino,Excepturi sequi non molestiae. Quia ad assumenda fugit. Vitae tempora dolores ipsa occaecati vitae sint.,Huella digital,División Cibercrimen,En investigación,No,8605,Baja
FELCC-00255,2025-05-07,21:05:44,Robo en vía pública,Miraflores,Lupe Casas Julián,45,Femenino,Iste reiciendis illo sequi dolore consequatur id. Dignissimos consequatur quas aut.,Ninguno,Unidad de Delitos Contra la Propiedad,En investigación,No,35331,Media
FELCC-00256,2025-05-07,20:35:24,Robo domiciliario,Zona Sur,José Antonio Pujol Sacristán,44,Femenino,"Aliquid enim dicta dolorem nam. Doloremque beatae magni libero harum. Sequi nobis totam accusamus.
Ad impedit voluptates. Aliquam vel tenetur vel modi ex eaque.",Huella digital,Unidad de Robo de Vehículos,En investigación,Sí,13288,Alta
FELCC-00257,2025-05-07,04:45:18,Robo de vehículo,El Alto 1ra,Vidal Torrijos Castells,30,Masculino,"Dolore illum ipsam dolor. Nihil exercitationem incidunt nesciunt consectetur doloribus.
Eligendi eum in. Distinctio id sapiente id.",Testigos,Unidad de Robo de Vehículos,En investigación,Sí,32426,Alta
FELCC-00258,2025-05-07,01:21:16,Robo en vía pública,El Alto 1ra,María Pilar Olalla Cepeda Vizcaíno,51,Masculino,Unde provident quos nam veniam deserunt. Debitis culpa molestiae possimus deserunt inventore eos fugit. Voluptates rem ex consequatur.,Ninguno,Unidad de Robo de Vehículos,Sin pistas,No,8124,Media
FELCC-00259,2025-05-07,09:30:42,Robo en vía pública,Centro La Paz,Juan Carlos Ferrero Mayol,48,Femenino,"Corporis nesciunt eos. Quibusdam fugit fugit.
Libero amet voluptatibus nobis quos.",Reconocimiento visual,División Cibercrimen,Sin pistas,No,27202,Alta
FELCC-00260,2025-05-07,02:20:47,Robo a comercio,Centro La Paz,Enrique Murillo Guerrero,61,Masculino,Corporis reprehenderit fugiat soluta culpa magnam. Reiciendis deserunt accusantium sequi iusto ab. Necessitatibus iure reiciendis.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,No,9754,Alta
FELCC-00261,2025-05-07,04:14:05,Robo domiciliario,Miraflores,Eva Nereida Bilbao Peralta,70,Masculino,"Ducimus a facilis quidem ea quia voluptatum. Debitis aspernatur ea earum.
Suscipit quam incidunt nemo. Animi minima rerum aliquam deleniti sint soluta ipsam.",Testigos,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,10907,Baja
FELCC-00262,2025-05-07,11:42:43,Robo domiciliario,Miraflores,Purificación Capdevila Quintanilla,67,Masculino,Doloremque aut molestias laudantium cum asperiores mollitia. Suscipit architecto hic corrupti.,Testigos,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,11806,Media
FELCC-00263,2025-05-07,12:12:25,Robo de vehículo,Zona Sur,Eloísa Mendoza Diez,62,Masculino,Quas est velit iure. Ipsum dolore dignissimos distinctio dolore unde. Consectetur sapiente illo nesciunt sit commodi tempore.,Testigos,Unidad de Delitos Contra la Propiedad,Con detenido,Sí,41811,Alta
FELCC-00264,2025-05-07,00:07:21,Robo de vehículo,Sopocachi,María Belén Esteve Ripoll,65,Femenino,Ad nemo architecto ratione aliquid. Officiis facere eius ipsum.,Testigos,Unidad de Robo de Vehículos,Cerrado,Sí,33421,Media
FELCC-00265,2025-05-07,21:56:08,Robo de vehículo,Miraflores,Nilo Caballero,43,Masculino,Maxime officiis nostrum quam. Occaecati voluptate quas atque facilis ut.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,Cerrado,Sí,2456,Baja
FELCC-00266,2025-05-07,05:10:33,Robo domiciliario,Sopocachi,Eusebio Tamayo Almagro,68,Femenino,Quasi aliquam est debitis. Quisquam numquam odit fugit perferendis tempora recusandae. Rem temporibus qui maiores laudantium modi officiis provident.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,Con detenido,Sí,19828,Baja
FELCC-00267,2025-05-07,00:43:57,Robo domiciliario,Zona Sur,Prudencia Saavedra Porta,69,Masculino,Mollitia beatae perferendis reiciendis enim nobis consequuntur. Nisi tempora nisi sit. Modi suscipit quas eius eveniet consequuntur.,Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,Sí,22780,Alta
FELCC-00268,2025-05-07,01:50:52,Robo de vehículo,Miraflores,Elba Estévez Carbajo,35,Masculino,Eaque consequuntur maiores officiis sed minus. Nulla soluta eveniet vel possimus repellat.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,No,23614,Media
FELCC-00269,2025-05-07,22:42:42,Robo de vehículo,Villa El Carmen,Estrella Boix Castells,35,Masculino,"Quia dolores incidunt id voluptates unde. Nostrum culpa nulla.
Aperiam eos laudantium assumenda. Velit illum quidem velit dignissimos doloremque. Est autem ut non esse rerum.",Huella digital,División Cibercrimen,Derivado a fiscalía,No,12708,Alta
FELCC-00270,2025-05-07,23:18:42,Robo en vía pública,Centro La Paz,Nerea Octavia Hernández Piñeiro,64,Masculino,Dolorum sit cum dolore ad. Quia animi aliquam iusto. Eaque consequuntur ipsa ea.,Testigos,División Cibercrimen,Sin pistas,Sí,5248,Media
FELCC-00271,2025-05-07,02:14:16,Robo de vehículo,Zona Sur,Benjamín Quiroga-Lasa,31,Masculino,Aut optio error tempore asperiores. Doloremque culpa architecto nemo eaque perspiciatis. Ut praesentium amet placeat explicabo.,Cámara de seguridad,Unidad de Robo de Vehículos,Con detenido,No,47250,Alta
FELCC-00272,2025-05-07,00:30:45,Robo domiciliario,Sopocachi,Paz Rita Morell Navas,28,Femenino,Perspiciatis consequatur expedita quaerat hic. Provident placeat id cupiditate blanditiis ipsa.,Cámara de seguridad,División Cibercrimen,Sin pistas,Sí,42845,Alta
FELCC-00273,2025-05-07,20:12:01,Robo domiciliario,Miraflores,Pánfilo Rius Morera,52,Masculino,Minima eligendi exercitationem et doloribus. Suscipit aliquid dignissimos non. Fugit et exercitationem dignissimos voluptas optio voluptate dolorem.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Sin pistas,Sí,27378,Media
FELCC-00274,2025-05-07,22:00:45,Robo de vehículo,Sopocachi,Otilia Roberta Luján Morillo,23,Femenino,Mollitia non soluta non natus commodi. Dolores nesciunt non temporibus. Unde quis eum modi quia earum nobis.,Reconocimiento visual,División Cibercrimen,En investigación,No,45544,Media
FELCC-00275,2025-05-07,13:35:03,Robo de vehículo,Centro La Paz,Ismael Ríos Barberá,49,Masculino,Asperiores eaque minus nostrum modi fugit. Ut nesciunt laborum tenetur. Aliquid aut voluptas atque. Omnis debitis a blanditiis distinctio praesentium ex.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,Sin pistas,No,8981,Baja
FELCC-00276,2025-05-07,19:15:38,Robo a comercio,Zona Sur,Odalys Varela Gisbert,18,Femenino,"Natus sunt vel minus distinctio saepe maxime illum. Pariatur ipsum cum enim omnis. Officiis deserunt eaque.
Nihil nobis dignissimos dicta.",Cámara de seguridad,Unidad de Robo de Vehículos,En investigación,No,2516,Baja
FELCC-00277,2025-05-07,21:19:53,Robo domiciliario,Villa El Carmen,Cesar Cueto Rueda,62,Masculino,Voluptatem optio non at facilis tempora exercitationem. Ad odio provident ipsa accusamus sapiente similique.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Con detenido,Sí,15060,Media
FELCC-00278,2025-05-07,07:28:17,Robo domiciliario,Sopocachi,Kike Arroyo Tur,57,Femenino,Aliquid recusandae reiciendis fugiat occaecati ut. Ducimus minima quae et iure magni.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,En investigación,Sí,29472,Baja
FELCC-00279,2025-05-07,15:27:38,Robo de vehículo,Centro La Paz,Julie Armengol-Morcillo,20,Masculino,Ullam et voluptatem ullam eius adipisci. Sunt facere tempore odio magni.,Cámara de seguridad,División Cibercrimen,Con detenido,No,29631,Alta
FELCC-00280,2025-05-07,00:24:07,Robo domiciliario,Sopocachi,Ciríaco Lara Jiménez,56,Femenino,Nisi dignissimos libero sequi a cupiditate illum. Temporibus architecto nemo non totam veniam.,Cámara de seguridad,División Cibercrimen,Cerrado,No,25397,Alta
FELCC-00281,2025-05-07,16:06:34,Robo en vía pública,Centro La Paz,Rodolfo Beltran Guillén,72,Femenino,"Nisi unde sapiente. Optio possimus sapiente sit. Minima modi ut.
Deleniti quae molestiae ratione odit.
Rerum libero tempore voluptate rerum accusamus odio.",Huella digital,Unidad de Delitos Contra la Propiedad,Cerrado,No,38366,Media
FELCC-00282,2025-05-07,12:50:56,Robo en vía pública,Centro La Paz,Pastora Carbajo-Narváez,41,Masculino,Et quod natus doloremque cum exercitationem. Alias itaque iusto id minima officiis beatae.,Huella digital,Unidad de Delitos Contra la Propiedad,Con detenido,Sí,32032,Baja
FELCC-00283,2025-05-07,02:28:01,Robo de vehículo,El Alto 1ra,Leandra Porcel Castells,47,Masculino,Vel minima dolorum. Delectus adipisci non consequuntur mollitia. Soluta magnam natus cumque possimus. Occaecati earum beatae laudantium minus.,Testigos,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,46984,Media
FELCC-00284,2025-05-07,01:53:20,Robo de vehículo,Villa El Carmen,Moisés Bravo Amores,34,Femenino,Blanditiis libero saepe excepturi perspiciatis. Laborum ipsum consequatur minus voluptates vero aspernatur magni.,Huella digital,División Cibercrimen,Cerrado,Sí,43884,Alta
FELCC-00285,2025-05-07,16:21:31,Robo a mano armada,El Alto 1ra,Edelmira Poza-Mas,60,Femenino,Aperiam dolor voluptates natus maiores. Eveniet nulla nihil incidunt reprehenderit atque in.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,No,12959,Media
FELCC-00286,2025-05-07,03:48:19,Robo domiciliario,Zona Sur,Anselmo Escalona Donaire,64,Femenino,Voluptates quae similique. In veritatis earum ab atque aperiam adipisci. Quis impedit laborum porro. Harum iste provident iste fuga.,Huella digital,División Cibercrimen,Sin pistas,Sí,43275,Alta
FELCC-00287,2025-05-07,13:07:18,Robo a mano armada,Villa El Carmen,Isidora Hoz-Atienza,65,Masculino,"Quod alias delectus. Quibusdam nemo eius suscipit modi aliquam.
Magni iusto similique aliquid suscipit occaecati. Soluta fugiat quaerat ducimus harum.",Cámara de seguridad,Unidad de Robo de Vehículos,Sin pistas,Sí,8301,Alta
FELCC-00288,2025-05-07,12:34:42,Robo domiciliario,Sopocachi,Montserrat Fuente Ribas,48,Femenino,Officia impedit magnam amet eius. Delectus unde recusandae. Exercitationem velit optio. Nihil sint autem.,Ninguno,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,27212,Alta
FELCC-00289,2025-05-07,16:54:13,Robo en vía pública,Miraflores,Fátima Maza Grau,21,Masculino,Mollitia exercitationem labore quod sit aliquid quisquam. Quos explicabo cupiditate cupiditate corporis. Quod quisquam eaque maxime.,Cámara de seguridad,División Cibercrimen,En investigación,Sí,26243,Media
FELCC-00290,2025-05-07,10:11:37,Robo en vía pública,Centro La Paz,Ariadna Abigaíl Valencia Roda,53,Masculino,Est error in eveniet ex aspernatur officiis. Nulla cumque deserunt velit sunt aspernatur sapiente.,Huella digital,Unidad de Delitos Contra la Propiedad,Con detenido,No,10325,Media
FELCC-00291,2025-05-07,20:34:18,Robo a comercio,Villa El Carmen,Charo Solé Pedrosa,38,Masculino,"Aut tempora explicabo mollitia molestias. Commodi eveniet atque accusantium.
Delectus quisquam beatae neque accusantium explicabo. Accusamus earum totam nisi at maxime nesciunt.",Ninguno,Unidad de Robo de Vehículos,Con detenido,Sí,45609,Alta
FELCC-00292,2025-05-07,21:26:36,Robo a comercio,Zona Sur,Albano Canet Quero,44,Masculino,"Nostrum inventore sapiente ipsam. Possimus nulla aperiam.
Placeat quas earum eos officia. Quam deleniti deleniti blanditiis iure aperiam.",Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,No,41671,Baja
FELCC-00293,2025-05-07,00:27:54,Robo domiciliario,Miraflores,Chuy de Pellicer,62,Femenino,Esse corrupti esse dolorum cupiditate dolorem beatae. Officiis officiis velit necessitatibus labore sapiente vero.,Huella digital,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,No,47198,Baja
FELCC-00294,2025-05-07,08:02:14,Robo a comercio,Villa El Carmen,Octavia Cortés Molina,65,Femenino,"Recusandae magni consectetur sed officiis totam. Rem optio porro. Aperiam enim dicta consequuntur ut sed.
Voluptatem omnis quisquam labore. Alias nesciunt iste animi illum.",Testigos,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,26294,Media
FELCC-00295,2025-05-07,23:18:26,Robo en vía pública,Zona Sur,Fermín Puga,74,Masculino,"Quibusdam fugiat quis tempore quasi. Consectetur ea quisquam maiores.
Error modi repellendus itaque nam ipsum quas. Unde quo molestias aliquid. Nisi voluptatum quis iste.",Testigos,Unidad de Delitos Contra la Propiedad,Sin pistas,No,19924,Baja
FELCC-00296,2025-05-07,23:25:17,Robo en vía pública,Centro La Paz,Merche Villalba Olivera,40,Masculino,"Eligendi vel odio minima saepe distinctio temporibus. Ipsa tempore quisquam fugiat reiciendis quos.
Sapiente itaque voluptas. Culpa sit dignissimos occaecati aspernatur ducimus.",Ninguno,División Cibercrimen,Cerrado,No,15073,Alta
FELCC-00297,2025-05-07,14:15:59,Robo de vehículo,Miraflores,Modesta Expósito-Fuente,23,Femenino,Tempora esse veniam in natus quas rem. Nostrum aliquid iusto reiciendis dolor numquam fugiat quis.,Huella digital,Unidad de Robo de Vehículos,En investigación,No,9881,Media
FELCC-00298,2025-05-07,05:44:05,Robo de vehículo,Miraflores,Maristela de Arjona,37,Masculino,Laboriosam dolorum non dicta unde qui minima. Numquam perspiciatis quae dignissimos blanditiis nulla inventore. Nemo consequatur quibusdam possimus.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,En investigación,Sí,43218,Baja
FELCC-00299,2025-05-07,10:45:53,Robo domiciliario,Zona Sur,Albino Nuñez Berenguer,56,Masculino,Autem velit tenetur in voluptas odio. Odio sint hic. Officia ea odio amet aliquid.,Testigos,Unidad de Robo de Vehículos,Con detenido,No,45425,Media
FELCC-00300,2025-05-07,00:33:27,Robo de vehículo,Villa El Carmen,Leopoldo Galan Cazorla,52,Femenino,Explicabo est a dolor sit nemo. Quidem ut fuga ipsum minus in corporis tenetur. Vitae reprehenderit non laborum.,Ninguno,Unidad de Delitos Contra la Propiedad,Sin pistas,Sí,14914,Media
FELCC-00301,2025-05-07,14:22:36,Robo en vía pública,Zona Sur,Eloy Gascón Casares,39,Masculino,"Quisquam eaque debitis dolorem sequi. Dolor commodi non porro dignissimos.
Maxime fugit ratione assumenda iusto sed autem.",Reconocimiento visual,Unidad de Robo de Vehículos,Cerrado,No,42339,Media
FELCC-00302,2025-05-07,07:42:19,Robo en vía pública,Miraflores,Godofredo Eleuterio Cisneros Benet,42,Femenino,"Officiis qui illum quis voluptates ab sequi. Distinctio nihil ratione ipsa omnis sunt delectus.
Magni odit assumenda sint.
Debitis doloribus eligendi commodi.",Ninguno,División Cibercrimen,Sin pistas,No,15205,Alta
FELCC-00303,2025-05-07,18:58:58,Robo de vehículo,Miraflores,Rosalva Albina Soler Lucas,58,Masculino,Temporibus consectetur vel placeat voluptatem. Veniam molestiae ad veniam aut. Atque cupiditate deserunt beatae totam sequi sequi.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Sin pistas,No,3935,Media
FELCC-00304,2025-05-07,04:27:55,Robo a mano armada,Centro La Paz,Encarnacion Borrás Río,19,Masculino,Quasi ab quos commodi suscipit. Illum dolorem repellendus vel debitis. Aliquam architecto in. Laudantium non reprehenderit.,Reconocimiento visual,Unidad de Robo de Vehículos,Sin pistas,No,15820,Alta
FELCC-00305,2025-05-07,12:55:14,Robo de vehículo,Sopocachi,Cristina Escribano,20,Masculino,Enim ab quae vero debitis recusandae eligendi eaque. Aspernatur laboriosam temporibus eveniet culpa molestiae eveniet.,Huella digital,Unidad de Delitos Contra la Propiedad,Sin pistas,No,6358,Baja
FELCC-00306,2025-05-07,01:33:35,Robo domiciliario,Villa El Carmen,Cirino Santamaría-Pozuelo,37,Masculino,"Eligendi fugiat eius vero corrupti nobis. Est nam eum vel doloribus harum eos at.
Sapiente deserunt excepturi quisquam fugiat voluptatum amet hic.",Reconocimiento visual,Unidad de Delitos Contra la Propiedad,En investigación,No,40468,Media
FELCC-00307,2025-05-07,03:30:27,Robo en vía pública,Zona Sur,Mohamed Gutierrez-Valero,56,Masculino,Magni laudantium voluptas voluptates omnis voluptatibus odio. Neque minus fugit suscipit optio reprehenderit. Nulla assumenda assumenda dolor exercitationem reprehenderit neque.,Reconocimiento visual,Unidad de Robo de Vehículos,En investigación,No,44857,Baja
FELCC-00308,2025-05-07,06:40:40,Robo a mano armada,El Alto 1ra,Domingo Morales Peinado,41,Masculino,"Incidunt nulla fugiat culpa. Ratione amet fuga porro in.
Atque molestias eum aspernatur voluptatum. Deserunt nobis rerum dolores porro vitae.",Reconocimiento visual,División Cibercrimen,En investigación,Sí,8175,Baja
FELCC-00309,2025-05-07,20:27:19,Robo a mano armada,Miraflores,Coral Manso Gámez,49,Masculino,Hic numquam laborum. Omnis quo molestias accusamus cumque repellendus. Voluptas blanditiis rem nemo aliquam.,Testigos,División Cibercrimen,Sin pistas,No,47343,Media
FELCC-00310,2025-05-07,19:24:07,Robo de vehículo,Centro La Paz,Clímaco Amador Bautista,25,Femenino,Quisquam voluptatibus facilis ut fugiat. Minus quod mollitia harum sed cum corrupti omnis. Consequuntur officiis vitae.,Testigos,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,40431,Media
FELCC-00311,2025-05-07,16:05:49,Robo domiciliario,El Alto 1ra,Jonatan Segura Hernandez,39,Femenino,Debitis facere soluta eligendi doloribus facere. Incidunt voluptates aperiam perspiciatis.,Cámara de seguridad,División Cibercrimen,Cerrado,Sí,36750,Media
FELCC-00312,2025-05-07,08:08:30,Robo a mano armada,Sopocachi,Adoración Mayoral Rebollo,38,Masculino,Sunt distinctio minus est nam rem illum. Cum officiis asperiores in dignissimos eos.,Ninguno,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,24762,Media
FELCC-00313,2025-05-07,23:42:18,Robo domiciliario,Miraflores,Paca Mateo Toledo,63,Masculino,"Cupiditate fuga voluptate odio a ipsam tempora.
Velit nobis deserunt id hic consequuntur. Itaque dolores ad veniam totam recusandae. Vero saepe mollitia aliquam doloremque.",Cámara de seguridad,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,22896,Alta
FELCC-00314,2025-05-07,21:39:48,Robo en vía pública,Villa El Carmen,Mamen Gálvez Peiró,31,Masculino,"Laboriosam assumenda reprehenderit. Tempore nisi illum suscipit repellat. Ea consectetur deleniti cumque hic.
Ab nobis earum architecto.",Huella digital,División Cibercrimen,Con detenido,Sí,5144,Alta
FELCC-00315,2025-05-07,09:25:49,Robo a comercio,Sopocachi,Geraldo de Tejada,46,Masculino,Eum quo sint aspernatur dolore totam. Iste doloremque dolores nobis sit aperiam. Voluptatem fugit commodi inventore totam.,Reconocimiento visual,Unidad de Robo de Vehículos,En investigación,No,15085,Baja
FELCC-00316,2025-05-07,21:54:45,Robo a mano armada,Miraflores,Leopoldo Roldan Nicolás,54,Femenino,Ab mollitia facere quos voluptate iusto. Eaque similique beatae officiis. Est qui dolore veritatis.,Huella digital,División Cibercrimen,En investigación,Sí,30663,Alta
